record_id,neighborhood_id,land_use,area_acres,canopy_acres,canopy_pct,impervious_acres,impervious_pct,open_ground_acres,year_assessed
C001,N01,Single-Family Residential,220,92.4,42.0,72.6,33.0,55.0,2026
C002,N01,Commercial,85,17.0,20.0,55.3,65.0,12.8,2026
C003,N01,Multi-Family Residential,60,19.8,33.0,27.0,45.0,13.2,2026
C004,N01,Right-of-Way,65,21.5,33.0,35.8,55.0,7.8,2026
C005,N01,Parks/Open Space,50,31.8,63.5,3.5,7.0,14.8,2026
C006,N02,Single-Family Residential,300,174.0,58.0,69.0,23.0,57.0,2026
C007,N02,Parks/Open Space,120,85.2,71.0,4.8,4.0,30.0,2026
C008,N02,Right-of-Way,55,15.4,28.0,30.3,55.0,9.4,2026
C009,N02,Undeveloped,45,35.1,78.0,1.4,3.0,8.6,2026
C010,N03,Single-Family Residential,180,90.0,50.0,45.0,25.0,45.0,2026
C011,N03,Institutional,80,36.8,46.0,28.0,35.0,15.2,2026
C012,N03,Parks/Open Space,70,48.3,69.0,3.5,5.0,18.2,2026
C013,N03,Right-of-Way,40,8.8,22.0,24.0,60.0,7.2,2026
C014,N03,Undeveloped,20,13.4,67.0,0.6,3.0,6.0,2026
C015,N04,Single-Family Residential,320,134.4,42.0,96.0,30.0,89.6,2026
C016,N04,Multi-Family Residential,80,24.0,30.0,40.0,50.0,16.0,2026
C017,N04,Commercial,45,7.2,16.0,31.5,70.0,6.3,2026
C018,N04,Parks/Open Space,95,65.6,69.0,5.7,6.0,23.8,2026
C019,N04,Right-of-Way,70,15.4,22.0,42.0,60.0,12.6,2026
C020,N05,Single-Family Residential,280,95.2,34.0,89.6,32.0,95.2,2026
C021,N05,Commercial,40,6.0,15.0,28.0,70.0,6.0,2026
C022,N05,Parks/Open Space,65,41.6,64.0,3.9,6.0,19.5,2026
C023,N05,Right-of-Way,45,9.9,22.0,27.0,60.0,8.1,2026
C024,N05,Undeveloped,20,12.0,60.0,0.6,3.0,7.4,2026
C025,N06,Single-Family Residential,210,96.6,46.0,52.5,25.0,60.9,2026
C026,N06,Parks/Open Space,100,66.0,66.0,5.0,5.0,29.0,2026
C027,N06,Right-of-Way,40,7.2,18.0,24.0,60.0,8.8,2026
C028,N06,Undeveloped,30,22.5,75.0,0.9,3.0,6.6,2026
C029,N07,Single-Family Residential,280,151.2,54.0,61.6,22.0,67.2,2026
C030,N07,Parks/Open Space,150,112.5,75.0,6.0,4.0,31.5,2026
C031,N07,Right-of-Way,60,13.2,22.0,36.0,60.0,10.8,2026
C032,N07,Commercial,30,4.2,14.0,21.0,70.0,4.8,2026
C033,N07,Undeveloped,40,30.0,75.0,1.2,3.0,8.8,2026
C034,N08,Single-Family Residential,270,132.3,49.0,64.8,24.0,72.9,2026
C035,N08,Parks/Open Space,130,93.6,72.0,5.2,4.0,31.2,2026
C036,N08,Right-of-Way,55,12.1,22.0,33.0,60.0,9.9,2026
C037,N08,Undeveloped,45,33.8,75.0,1.4,3.0,9.9,2026
C038,N09,Single-Family Residential,260,96.2,37.0,72.8,28.0,91.0,2026
C039,N09,Parks/Open Space,85,55.3,65.0,4.3,5.0,25.5,2026
C040,N09,Right-of-Way,45,7.2,16.0,27.0,60.0,10.8,2026
C041,N09,Undeveloped,30,18.9,63.0,0.9,3.0,10.2,2026
C042,N10,Single-Family Residential,220,92.4,42.0,59.4,27.0,68.2,2026
C043,N10,Commercial,55,8.3,15.0,38.5,70.0,8.3,2026
C044,N10,Multi-Family Residential,50,15.0,30.0,25.0,50.0,10.0,2026
C045,N10,Parks/Open Space,60,42.0,70.0,3.0,5.0,15.0,2026
C046,N10,Right-of-Way,41,8.6,21.0,24.6,60.0,7.8,2026
