park_id,name,neighborhood_id,area_acres,canopy_acres,canopy_pct,type,notable_features
P01,Mary S. Young State Park,N07,128,108.8,85.0,State Park,Old-growth Douglas Fir stands along Willamette River
P02,Wilderness Park,N02,75,63.8,85.0,City Park,Forested ravines with native understory
P03,Maddax Woods,N08,42,37.8,90.0,Natural Area,Mature second-growth forest
P04,Fields Bridge Park,N04,28,11.2,40.0,City Park,Riverside recreation and riparian canopy
P05,Hammerle Park,N01,18,12.6,70.0,City Park,Mixed conifer and deciduous canopy
P06,Burnside Park,N05,22,14.3,65.0,City Park,Oak savanna restoration area
P07,Tanner Creek Park,N08,35,28.0,80.0,City Park,Creek corridor with mature canopy
P08,Sunset Park,N05,12,6.0,50.0,City Park,Recreational open space with perimeter trees
P09,Robinwood Park,N04,15,9.0,60.0,City Park,Neighborhood park with native plantings
P10,Savanna Oaks Park,N06,45,33.8,75.0,Natural Area,Oregon White Oak preservation site
P11,McLean House Park,N03,8,5.6,70.0,Historic Site,Heritage trees on historic campus
P12,Willamette Park,N07,20,14.0,70.0,City Park,River-access park with riparian buffer
P13,Bolton Meadow,N01,10,3.0,30.0,Open Space,Meadow with scattered trees
P14,Hidden Springs Trail,N02,30,25.5,85.0,Trail/Greenway,Forested trail corridor
P15,Camassia Natural Area,N03,26,15.6,60.0,Natural Area,TNC preserve with oak woodland and wildflowers
P16,Palomino Park,N09,14,7.7,55.0,City Park,Hilltop park with views and wind-tolerant trees
P17,Parker Crest Greenway,N09,22,17.6,80.0,Trail/Greenway,Wooded corridor connecting neighborhoods
P18,Bland Circle Commons,N10,8,4.8,60.0,City Park,Central neighborhood gathering area
